,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
53,coihaique,75,CL,1570626079,70,-45.58,-72.07,46.4,2.24
54,new norfolk,75,LR,1570626079,79,6.65,-10.59,84.2,14.99
55,provideniya,100,RU,1570626080,98,64.42,-173.23,32.99,3.49
56,inhambane,40,MZ,1570626080,74,-23.87,35.38,84.2,23.04
57,sampit,40,ID,1570626080,81,-2.54,112.95,77.45,5.39
58,kahului,1,US,1570626080,73,20.89,-156.47,75.0,6.93
59,lisala,72,CD,1570626080,47,2.15,21.52,90.41,4.33
60,coquimbo,90,CL,1570626081,100,-29.95,-71.34,50.0,8.05
61,ribeira grande,20,PT,1570626081,59,41.76,-8.56,72.0,8.05
62,banamba,33,ML,1570626081,48,13.55,-7.45,90.95,14.3
63,san isidro,13,ML,1570626082,34,13.3,-4.9,95.63,13.16
64,chimoio,40,MZ,1570626082,30,-19.11,33.48,95.0,5.93
65,ponta do sol,100,BR,1570626082,94,-0.53,-65.05,76.73,0.96
66,isangel,20,VU,1570626083,88,-19.55,169.27,69.8,3.36
67,kaniama,74,CD,1570626083,66,-7.57,24.18,81.59,7.11
68,hastings,96,NZ,1570626083,80,-39.64,176.84,54.95,6.3
69,kalmunai,89,LK,1570626084,70,7.42,81.82,83.93,11.53
70,saskylakh,96,RU,1570626084,94,71.97,114.09,19.13,9.33
71,poltavka,98,RU,1570626084,51,54.36,71.76,63.23,9.51
72,garowe,9,SO,1570626084,31,8.41,48.48,89.69,9.66
73,kavieng,15,PG,1570626084,72,-2.57,150.8,85.37,8.55
74,sao joao da barra,5,IN,1570626085,59,20.51,76.21,78.71,5.84
75,tessalit,15,ML,1570626085,19,20.2,1.01,101.21,14.91
76,mankono,75,CI,1570626085,80,8.06,-6.19,79.43,3.8
77,boffa,93,GN,1570626086,87,10.18,-14.04,78.89,9.81
78,conde,8,BR,1570626086,55,-11.81,-37.61,82.67,6.71
79,atuona,15,PF,1570626086,69,-9.8,-139.03,79.43,8.63
80,port lincoln,92,CD,1570626086,26,-7.04,29.76,85.73,10.63
81,bredasdorp,67,ZA,1570626087,36,-34.53,20.04,62.6,21.92
82,taoudenni,0,ML,1570626087,12,22.68,-3.98,97.61,13.94
83,kemin,82,KG,1570626088,57,42.79,75.7,51.35,1.44
84,jadu,30,LY,1570626088,51,31.95,12.03,71.69,4.29
85,dosso,68,NE,1570626088,48,13.05,3.19,89.51,7.31
86,brighton,20,GB,1570625862,58,50.82,-0.14,61.0,18.34
87,gurlan,0,UZ,1570626088,27,41.84,60.39,82.4,6.93
88,jaguaribe,13,BR,1570626089,53,-5.88,-38.62,80.87,10.49
89,moose factory,90,US,1570626089,56,43.66,-110.72,44.6,5.82
90,faanui,92,PF,1570626089,85,-16.48,-151.75,75.29,23.43
91,shingu,17,JP,1570626089,69,33.72,135.99,72.59,15.52
92,sovetskiy,77,RU,1570626090,59,56.76,48.47,41.09,7.34
93,butaritari,3,KI,1570626090,67,3.07,172.79,84.83,9.98
94,pangnirtung,75,CA,1570626091,72,66.15,-65.72,32.0,2.33
95,west bay,90,US,1570626092,100,31.8,-97.09,66.2,11.41
96,hilo,75,US,1570626092,69,19.71,-155.08,73.4,5.82
97,flinders,75,AU,1570626092,87,-34.58,150.85,55.0,5.82
98,andros town,0,GR,1570626092,60,37.83,24.93,73.4,16.11
99,xining,97,CN,1570626093,94,36.62,101.77,40.19,1.43
100,dokka,100,NO,1570626093,81,60.83,10.07,35.01,2.77
101,saint-philippe,1,CA,1570626093,100,45.36,-73.48,48.0,7.62
102,kieta,100,PG,1570626093,80,-6.22,155.63,80.51,6.53
103,norman wells,75,US,1570626011,77,35.22,-97.44,64.4,13.87
104,arraial do cabo,75,BR,1570626094,88,-22.84,-46.65,73.0,5.82
105,honningsvag,75,NO,1570626094,86,70.98,25.97,39.2,13.87
106,horta,40,BR,1570626094,65,-10.93,-37.66,82.4,12.75
107,petropavlovka,30,RU,1570626095,49,50.61,105.32,31.55,1.45
108,kendari,31,ID,1570626095,89,-3.99,122.52,74.39,1.52
109,codrington,36,AU,1570626095,82,-28.95,153.24,64.4,4.36
110,pangai,75,TO,1570626095,94,-19.8,-174.35,75.2,8.85
111,dunedin,100,NZ,1570626096,94,-45.87,170.5,48.99,1.01
112,muisne,100,EC,1570626096,88,0.61,-80.02,74.03,9.7
113,namie,20,JP,1570626096,58,37.52,140.86,57.2,2.24
114,manadhoo,67,MV,1570626096,74,5.77,73.38,83.39,10.01
115,fortuna,1,US,1570626097,86,40.6,-124.16,41.0,4.7
116,altay,0,CN,1570626097,40,47.83,88.13,43.79,1.45
117,yellowknife,20,CA,1570625931,92,62.45,-114.38,26.01,9.17
118,tautira,75,PF,1570626097,73,-17.73,-149.15,75.2,3.36
119,chokurdakh,0,RU,1570626097,90,70.62,147.9,4.19,1.47
120,xiongyue,26,CN,1570626098,65,40.18,122.12,63.77,23.82
121,kaitangata,100,NZ,1570626098,92,-46.28,169.85,48.99,7.0
122,beloha,17,MG,1570626098,17,-25.17,45.06,95.99,7.34
123,khatanga,98,RU,1570626098,93,71.98,102.47,17.69,6.74
124,acajutla,100,SV,1570626099,72,13.59,-89.83,82.13,5.46
125,port elizabeth,99,CD,1570626099,52,-7.04,29.76,83.39,5.27
126,atar,98,MR,1570626099,8,20.52,-13.05,97.97,14.67
127,puerto ayora,80,AR,1570626099,69,-51.62,-69.23,46.4,19.46
128,hervey bay,1,US,1570626100,81,33.5,-93.78,59.0,3.36
129,sandy bay,75,GB,1570626100,71,52.13,-0.29,60.01,18.34
130,petauke,85,ZM,1570626100,14,-14.25,31.33,101.21,3.47
131,nikolskoye,90,RU,1570626101,81,59.7,30.79,44.01,11.18
132,qaanaaq,85,GL,1570626101,60,77.48,-69.36,19.13,10.89
133,cherskiy,98,RU,1570626101,96,68.75,161.3,11.93,7.2
134,vestmannaeyjar,40,IS,1570626102,93,63.44,-20.27,50.0,9.17
135,hasaki,0,JP,1570626102,67,35.73,140.83,62.6,6.93
136,santa rosa,0,PH,1570626102,80,17.49,120.43,84.29,9.01
137,klaksvik,100,FO,1570626102,87,62.23,-6.59,51.8,6.93
138,cururupu,73,BR,1570626103,67,-1.82,-44.87,81.59,7.16
139,santiago del estero,53,PH,1570626026,93,16.69,121.54,71.69,1.79
140,severo-kurilsk,97,RU,1570626103,91,50.68,156.12,49.19,18.79
141,tual,100,ID,1570626103,86,-5.67,132.75,78.89,11.2
142,bluff,0,AU,1570626103,56,-23.58,149.07,65.57,11.41
143,necochea,95,AR,1570626104,45,-38.55,-58.74,63.0,21.0
144,zatoka,75,PL,1570626104,77,50.04,20.52,59.0,4.7
145,souillac,90,FR,1570626104,55,45.6,-0.6,66.99,19.46
146,dalvik,75,SE,1570626105,87,57.79,14.13,54.0,5.82
147,yemelyanovo,49,RU,1570626105,74,56.17,92.69,28.4,3.46
148,iqaluit,75,CA,1570626105,88,63.75,-68.52,33.8,1.9
149,thompson,40,CA,1570626105,86,55.74,-97.86,30.2,6.93
150,sao filipe,5,IN,1570626085,59,20.51,76.21,78.71,5.84
151,ossora,2,RU,1570626106,74,59.24,163.07,38.21,12.02
152,camopi,100,GF,1570626106,66,3.17,-52.33,81.23,5.73
153,kushima,20,JP,1570626106,77,31.5,131.29,62.6,8.05
154,meadow lake,75,GB,1570626106,81,54.18,-6.35,55.0,16.11
155,carnarvon,0,ZA,1570626107,17,-30.97,22.13,72.77,20.31
156,rocha,26,UY,1570626107,62,-34.48,-54.34,64.13,3.69
157,kodiak,1,US,1570626107,81,39.95,-94.76,54.0,9.17
158,cabo san lucas,40,ES,1570626110,63,43.18,-5.8,70.0,14.99
159,vanimo,77,PG,1570626110,75,-2.67,141.3,83.39,9.46
160,matagami,87,NG,1570626111,81,9.67,8.4,77.27,8.05
161,clyde river,93,NZ,1570626111,89,-45.19,169.32,46.99,5.35
162,novo horizonte,20,CU,1570626111,100,22.78,-82.23,73.4,3.36
163,khash,0,IR,1570626111,8,28.22,61.21,86.27,13.27
164,pierre,75,US,1570626112,93,44.37,-100.35,50.0,21.92
165,jamestown,0,AU,1570626112,57,-33.21,138.6,44.69,5.47
166,chara,40,GR,1570626112,56,39.42,22.43,71.6,2.55
167,yurimaguas,40,PE,1570626113,310,-5.9,-76.1,48.2,1.06
168,panuco,5,MX,1570626113,81,22.88,-102.54,51.8,1.66
169,esperance,100,AU,1570626113,46,-33.86,121.89,69.8,11.41
170,havre-saint-pierre,20,CA,1570626113,75,50.23,-63.6,41.0,6.93
171,piranhas,100,BR,1570626114,55,-16.43,-51.82,79.79,6.89
172,hambantota,75,LK,1570626114,100,6.12,81.12,73.4,5.82
173,nangong,100,CN,1570626114,82,37.36,115.37,57.29,14.79
174,dombarovskiy,100,RU,1570626114,45,50.76,59.54,55.49,8.95
175,namibe,84,AO,1570626115,87,-15.19,12.15,68.09,12.91
176,kropotkin,100,RU,1570626115,61,45.43,40.58,55.13,0.84
177,baoqing,0,CN,1570626115,62,46.32,132.2,52.07,9.6
178,upernavik,0,GL,1570626115,45,72.79,-56.15,30.83,6.11
179,miyazu,0,JP,1570626116,74,35.58,135.2,51.17,1.05
180,pires do rio,40,BR,1570626116,61,-20.15,-44.17,77.0,8.05
181,sabang,47,PH,1570626116,86,13.8,121.11,79.0,1.99
182,belmonte,25,PT,1570626116,36,40.36,-7.35,79.0,7.54
183,buala,100,SB,1570626117,82,-8.15,159.59,79.25,4.26
184,vao,100,EE,1570626117,83,59.1,26.19,45.23,4.02
185,antsohihy,12,MG,1570626117,53,-14.88,47.99,87.71,10.71
186,ashland,90,US,1570626117,100,38.48,-82.64,57.99,3.26
187,pisco,90,PE,1570626117,30,-13.71,-76.2,71.6,2.24
188,citluk,0,RS,1570626118,36,43.59,21.27,77.0,9.17
189,bilibino,24,RU,1570626118,92,68.06,166.44,4.73,2.39
190,georgetown,40,GY,1570626118,94,6.8,-58.16,80.6,4.7
191,mudon,4,MM,1570626118,75,16.26,97.73,81.95,6.25
192,lorengau,29,PG,1570626119,82,-2.02,147.27,79.97,5.44
193,luderitz,0,NA,1570626119,36,-26.65,15.16,78.8,32.21
194,lafia,94,NG,1570626120,72,8.5,8.51,83.93,2.04
195,kaabong,60,UG,1570626120,48,3.51,34.14,79.97,12.37
196,college,90,US,1570626120,100,64.86,-147.8,35.6,2.55
197,dmitriyevka,96,GE,1570626120,76,43.08,41.0,64.31,5.73
198,victor harbor,90,US,1570626121,56,43.6,-111.11,44.6,5.82
199,castro,90,CL,1570626121,100,-42.48,-73.76,48.2,9.17
200,talara,50,PE,1570626121,88,-4.58,-81.27,63.05,14.62
201,kaeo,100,NZ,1570626121,100,-35.1,173.78,61.0,15.9
202,itarema,68,BR,1570626122,54,-2.92,-39.92,84.11,13.1
203,arbagar,97,RU,1570626122,52,51.94,116.28,36.59,7.92
204,ahuimanu,40,US,1570626122,74,21.44,-157.84,80.6,5.82
205,port-gentil,90,GA,1570626122,83,-0.72,8.78,80.6,11.41
206,meulaboh,100,ID,1570626123,77,4.14,96.13,79.97,8.05
207,sekoma,0,BW,1570626123,5,-24.51,23.93,96.53,13.8
208,nauta,43,PE,1570626123,81,-4.51,-73.58,73.85,1.32
209,ojinaga,1,US,1570626123,56,29.56,-104.41,69.8,6.93
210,chandbali,78,IN,1570626124,79,20.77,86.74,80.33,7.02
211,mnogovershinnyy,0,RU,1570626124,87,53.94,139.92,33.53,5.86
212,winnipeg,90,CA,1570626001,75,49.88,-97.17,46.0,16.11
213,missoula,90,US,1570626001,68,46.87,-114.0,28.99,3.13
214,petropavlovsk-kamchatskiy,75,RU,1570626125,87,53.05,158.65,42.8,17.9
215,barcelona,75,ES,1570626073,78,41.38,2.18,75.0,11.41
216,oga,75,IT,1570626125,81,46.46,10.35,55.0,14.99
217,portobelo,40,PA,1570626125,100,9.55,-79.65,80.01,10.45
218,najran,40,SA,1570626126,29,17.54,44.22,87.8,9.17
219,kruisfontein,100,ZA,1570626126,72,-34.0,24.73,57.29,25.68
220,san francisco,13,ML,1570626126,34,13.3,-4.9,95.63,13.16
221,nantucket,90,US,1570626126,82,41.28,-70.1,59.0,19.46
222,padang,42,ID,1570626127,80,-0.92,100.36,79.25,8.75
223,maniitsoq,54,GL,1570626127,42,65.42,-52.9,35.87,5.21
224,riyadh,20,SA,1570626040,24,24.63,46.72,95.0,8.05
225,port macquarie,92,CD,1570626127,26,-7.04,29.76,85.73,10.63
226,ancud,90,CL,1570626127,100,-41.87,-73.83,48.2,9.17
227,cordoba,82,AR,1570626128,37,-27.78,-67.24,66.47,0.85
228,mehamn,75,NO,1570626128,86,71.03,27.85,41.0,13.87
229,pacific grove,1,US,1570626128,80,47.26,-122.25,43.0,3.36
230,longhua,100,CN,1570626129,95,29.21,106.21,63.59,2.53
231,fairbanks,90,US,1570626043,100,64.84,-147.72,35.6,2.55
232,mareeba,63,AU,1570626129,88,-16.99,145.42,73.99,3.36
233,huilong,100,CN,1570626129,92,31.15,106.5,63.41,3.92
234,sisimiut,0,GL,1570626129,52,66.94,-53.67,34.79,9.82
235,kununurra,33,AU,1570626130,44,-15.77,128.74,78.8,12.68
236,saint-augustin,40,CA,1570626130,93,45.63,-73.98,48.0,2.24
237,praya,40,ID,1570626130,83,-8.71,116.27,78.8,4.7
238,dzaoudzi,49,YT,1570626130,70,-12.79,45.27,86.0,6.93
239,gambo,100,CF,1570626131,74,4.65,22.26,78.89,5.77
240,paamiut,95,GL,1570626131,89,61.99,-49.67,40.19,10.8
241,tasiilaq,75,GL,1570626131,86,65.61,-37.64,39.2,5.82
242,karratha,0,AU,1570626131,53,-20.74,116.85,75.11,5.32
243,vostok,0,RU,1570626132,77,46.45,135.83,41.63,6.24
244,tiksi,87,RU,1570625857,89,71.64,128.87,20.39,3.2
245,tiszavasvari,0,HU,1570626132,37,47.97,21.35,68.0,9.17
246,talnakh,0,RU,1570626133,73,69.49,88.39,19.4,6.71
247,tuatapere,100,NZ,1570626133,98,-46.13,167.69,48.99,1.99
248,merta,0,IN,1570626133,26,26.65,74.03,88.97,5.0
249,maceio,75,BR,1570626014,61,-9.67,-35.74,82.4,12.75
250,opuwo,13,NA,1570626134,5,-18.06,13.84,99.41,20.11
251,lata,67,IN,1570626134,89,30.78,78.62,34.25,2.82
252,durban,100,CA,1570626134,58,51.93,-101.44,32.81,9.02
253,niamey,40,NE,1570626134,65,13.52,2.11,82.4,5.82
254,dikson,1,RU,1570626135,84,73.51,80.55,24.53,22.16
255,lagoa,0,PT,1570626135,64,37.14,-8.45,84.99,8.05
256,constitucion,21,MX,1570626135,76,23.99,-104.67,55.99,7.0
257,alofi,100,NU,1570626136,88,-19.06,-169.92,73.4,6.93
258,broome,40,GB,1570626136,67,52.47,1.45,61.0,10.29
259,babol,0,IR,1570626136,65,36.55,52.68,80.6,6.93
260,mao,75,DO,1570626136,100,19.55,-71.08,86.0,4.7
261,hamilton,20,CA,1570626018,87,43.26,-79.87,55.99,9.17
262,narsaq,75,GL,1570626137,82,60.91,-46.05,39.2,2.24
263,mount isa,40,GB,1570626137,71,53.66,-1.85,57.99,18.34
264,yagodnoye,100,RU,1570626137,78,62.52,149.63,14.99,1.21
265,shasta lake,1,US,1570626137,50,40.6,-122.49,59.0,8.89
266,verkhoyansk,18,RU,1570626137,77,67.55,133.39,11.39,4.62
267,bambous virieux,75,MU,1570626138,61,-20.26,57.41,77.0,17.22
268,muros,40,ES,1570626138,72,42.77,-9.06,66.99,4.7
269,vila velha,90,IT,1570626138,100,45.18,8.4,62.01,6.93
270,zhanakorgan,18,KZ,1570626138,17,43.91,67.25,75.29,7.48
271,sitka,30,US,1570626139,78,37.17,-99.65,59.09,19.6
272,zlatoust,100,RU,1570626139,77,55.17,59.68,43.61,5.55
273,grand river south east,99,FR,1570626139,82,48.39,5.49,59.0,17.22
274,domat,75,CH,1570626140,75,46.83,9.45,55.0,10.29
275,belaya gora,100,RU,1570626140,69,51.06,35.71,48.29,19.49
276,obihiro,0,JP,1570626140,82,42.92,143.2,45.95,7.65
277,havoysund,40,NO,1570626140,80,71.0,24.66,39.2,16.11
278,geraldton,40,CA,1570626141,87,49.72,-86.95,48.2,8.05
279,husavik,93,CA,1570626141,84,50.56,-96.99,46.0,8.99
280,harper,90,US,1570626141,78,30.3,-99.24,71.6,6.93
281,buenos aires,40,US,1570626142,82,33.3,-101.49,64.99,9.17
282,sangar,100,RU,1570626142,87,63.92,127.47,26.51,3.04
283,sur,0,OM,1570626142,37,22.57,59.53,87.89,5.75
284,nyaunglebin,55,MM,1570626142,91,17.95,96.73,76.91,3.31
285,valle de allende,0,IT,1570626143,44,41.02,14.64,80.6,5.82
286,menomonie,1,US,1570626143,87,44.88,-91.92,54.0,11.2
287,saint-pierre,95,FR,1570626143,82,48.95,4.24,60.01,24.16
288,baykit,0,RU,1570626143,67,61.68,96.39,21.47,4.32
289,sawakin,0,SD,1570626143,36,19.1,37.33,92.57,17.16
290,avera,90,US,1570626144,82,33.19,-82.53,68.0,6.93
291,santa maria,0,PH,1570626102,80,17.49,120.43,84.29,9.01
292,urucui,2,BR,1570626075,30,-7.23,-44.56,88.25,11.65
293,kudahuvadhoo,13,MV,1570626144,68,2.67,72.89,83.03,6.22
294,bandikui,21,IN,1570626145,37,27.05,76.58,87.71,1.66
295,katobu,92,ID,1570626145,83,-4.94,122.53,75.47,5.24
296,orlik,75,PL,1570626145,71,53.95,17.74,60.01,11.41
297,sao jose da coroa grande,5,IN,1570626085,59,20.51,76.21,78.71,5.84
298,fort nelson,89,IN,1570626146,84,17.96,79.61,79.07,2.59
299,esso,100,RU,1570626146,97,55.93,158.7,28.31,9.53
300,neryungri,92,RU,1570626146,92,56.66,124.71,11.03,6.34
301,rawson,18,AR,1570626146,41,-43.3,-65.11,52.25,22.86
302,lavrentiya,100,RU,1570626146,98,65.58,-170.99,32.63,4.9
303,gizo,22,IL,1570626147,58,31.8,34.94,84.99,12.75
304,yetkul,40,RU,1570626147,54,54.83,61.59,53.6,8.95
305,sindor,99,RU,1570626147,72,62.87,51.9,34.79,8.25
306,east london,40,UG,1570626148,55,3.43,31.7,85.73,1.66
307,pochutla,75,MX,1570626148,83,15.74,-96.47,77.0,3.56
308,valparaiso,1,US,1570626148,93,41.47,-87.06,55.4,7.06
309,snasa,33,NO,1570626148,64,64.25,12.38,41.27,13.31
310,bar harbor,75,ME,1570626149,43,42.1,19.1,71.6,3.36
311,longyearbyen,75,NO,1570626149,86,78.22,15.63,33.8,6.93
312,lukulu,92,ZM,1570626149,23,-14.38,23.24,92.03,11.03
313,hay river,0,AU,1570626149,71,-34.51,144.84,50.09,10.0
314,mandurah,100,AU,1570625908,93,-32.55,115.7,64.0,11.25
315,yulara,0,AU,1570626150,13,-25.24,130.99,73.4,8.05
316,carutapera,100,BR,1570626150,74,-1.2,-46.02,80.87,19.58
317,nemuro,9,JP,1570626150,72,43.32,145.57,57.29,12.84
318,leningradskiy,100,RU,1570626150,91,69.38,178.42,31.55,21.66
319,indian head,1,US,1570626151,93,33.05,-91.29,61.0,4.12
320,nelson bay,68,CA,1570626151,94,49.49,-117.29,18.59,2.71
321,sicamous,1,CA,1570626151,72,50.84,-118.99,32.0,10.29
322,wangkui,9,CN,1570626152,36,46.83,126.5,56.21,9.4
323,sao miguel do araguaia,5,IN,1570626152,59,20.51,76.21,78.71,5.84
324,nome,1,US,1570626152,88,30.04,-94.42,71.01,5.57
325,zharkent,83,KZ,1570626152,32,44.17,80.0,69.17,13.82
326,moindou,0,NC,1570626153,94,-21.69,165.68,68.0,6.58
327,kijang,0,KR,1570626153,67,35.24,129.21,59.0,6.93
328,valvedditturai,72,LK,1570626153,67,9.82,80.17,83.93,1.61
329,lebu,40,ET,1570626153,46,8.96,38.73,71.6,18.34
330,santa vitoria,0,PH,1570626154,80,17.49,120.43,84.29,9.01
331,paysandu,82,UY,1570626154,53,-32.32,-58.08,71.01,1.99
332,fort saint john,89,IN,1570626154,84,17.96,79.61,79.07,2.6
333,mercedes,65,UY,1570626154,63,-33.25,-58.03,66.99,5.68
334,sal rei,0,SY,1570626155,12,36.63,38.46,92.21,5.21
335,tiarei,75,PF,1570626155,73,-17.53,-149.33,75.2,3.36
336,saint-junien,51,FR,1570626155,87,45.89,0.9,64.4,9.17
337,fereydun kenar,20,IR,1570626155,13,34.37,46.92,86.0,13.87
338,sinnamary,23,GF,1570626156,77,5.38,-52.96,81.77,15.26
339,sao sebastiao,5,IN,1570626152,59,20.51,76.21,78.71,5.84
340,vardo,20,US,1570626156,76,39.62,-77.74,57.0,9.17
341,san quintin,13,ML,1570626156,34,13.3,-4.9,95.63,13.16
342,kintampo,89,GH,1570626156,82,8.05,-1.73,79.43,4.78
343,qianguo,0,CN,1570626157,33,45.12,124.86,61.25,20.58
344,ostrovnoy,100,RU,1570626157,96,68.05,39.51,33.89,7.45
345,teshie,75,GH,1570626157,74,5.58,-0.11,84.2,14.99
346,victoria,75,BN,1570626157,78,5.28,115.24,82.4,2.24
347,bollnas,100,SE,1570626158,83,61.35,16.39,46.0,2.64
348,lompoc,90,US,1570626158,93,34.64,-120.46,57.99,7.32
349,bethel,40,US,1570626044,100,60.79,-161.76,39.2,8.05
350,pacatuba,56,BR,1570626159,50,-10.45,-36.65,83.21,11.1
351,sinegorye,100,RU,1570626159,94,62.09,150.53,14.09,2.89
352,palmer,20,AU,1570626159,71,-34.85,139.16,53.01,10.29
353,damietta,20,EG,1570626160,62,31.42,31.81,84.2,12.75
354,ewa beach,100,CM,1570626160,93,5.76,9.91,66.29,3.31
355,kyaukse,40,MM,1570626160,74,21.6,96.13,82.4,5.82
356,urucara,100,BR,1570626160,66,-2.54,-57.76,82.85,3.6
357,benguela,100,AO,1570626160,81,-12.58,13.4,74.75,7.13
358,port hedland,99,CD,1570626161,52,-7.04,29.76,83.39,5.27
359,cockburn town,0,AU,1570626161,28,-32.08,141.0,57.2,8.05
360,capljina,40,BA,1570626161,38,43.12,17.68,75.2,4.7
361,wanning,100,AT,1570626161,93,48.64,13.53,57.99,1.99
362,saint-joseph,90,FR,1570626162,77,43.56,6.97,71.01,5.82
363,fez,0,MA,1570626162,19,34.03,-5.02,89.6,8.05
364,yeppoon,90,AU,1570626162,78,-23.13,150.74,71.6,11.41
365,kuusamo,90,FI,1570626162,100,65.96,29.19,33.8,6.93
366,mkushi,41,ZM,1570626163,14,-13.61,29.4,97.61,3.08
367,abu dhabi,0,JP,1570626163,63,34.51,131.49,66.0,4.7
368,nouakchott,100,MR,1570626163,65,18.08,-15.98,82.4,8.05
369,tura,93,RU,1570626163,85,64.27,100.22,16.61,9.04
370,hofn,75,IS,1570626164,61,64.25,-15.21,48.2,21.92
371,arlit,0,NE,1570626164,26,18.74,7.39,96.71,10.31
372,plettenberg bay,75,DE,1570626164,71,51.21,7.87,61.0,16.11
373,samarai,56,PG,1570626164,94,-10.62,150.67,73.67,4.29
374,fundao,40,BR,1570626165,69,-19.93,-40.4,80.6,6.93
375,priladozhskiy,90,RU,1570626165,81,59.85,31.48,44.01,11.18
376,caapucu,0,PY,1570626165,61,-26.22,-57.2,73.67,6.85
377,lisakovsk,100,KZ,1570626165,38,52.55,62.49,59.63,7.63
378,colares,0,PT,1570626166,46,38.8,-9.45,73.4,25.28
379,matara,100,BI,1570626166,53,-3.48,29.48,67.73,7.25
380,chapada dos guimaraes,72,BR,1570626166,56,-3.91,-40.78,75.47,16.44
381,razole,97,IN,1570626166,79,16.48,81.84,80.87,4.92
382,vila franca do campo,90,IT,1570626167,100,45.18,8.4,62.01,6.93
383,sept-iles,5,CA,1570626051,80,50.2,-66.38,39.2,8.05
384,pevek,100,RU,1570626167,88,69.7,170.27,30.29,15.81
385,zhob,0,PK,1570626167,16,31.34,69.45,72.77,10.49
386,ylivieska,100,FI,1570626167,93,64.07,24.53,41.0,5.99
387,yar-sale,100,RU,1570626168,91,66.83,70.83,37.31,12.75
